date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_276,aVWAP_BoS_CHoCH_bull_611,aVWAP_BoS_CHoCH_bear_149,aVWAP_BoS_CHoCH_bear_578,aVWAP_BoS_CHoCH_bear_615,aVWAP_BoS_CHoCH_bear_828,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-08-18 18:00:00+00:00,2.985,2.985,2.97,2.985,47632.0,3.162374965193891,3.135820081268652,3.0949885872751284,3.12842467751396,3.1364404777827324,,3.1008064921569645,"rgba(38, 166, 154, 1.0)",0.09889146840107718,3.1008064921569645,-1.1710463402897875,1,0.48733880528384316,0.48733880528384316,0.0,0.0,0.0,0.0,37.5452486459013,-8.818805756615049,False,True,False,True,False,0.0
2025-08-18 19:00:00+00:00,2.985,2.985,2.93,2.93,266637.0,3.1597467890183437,3.131719315991488,3.093508861453791,3.1246018334476946,3.1297028732875294,,3.0949001915007353,"rgba(239, 83, 80, 1.0)",0.09880698264707075,3.0949001915007353,-1.6689123286938443,1,0.5093441078052143,0.5093441078052143,0.0,0.0,0.0,0.0,32.59834266501092,-13.389754531852304,False,True,False,True,False,0.0
2025-08-19 14:00:00+00:00,2.935,2.955,2.905,2.92,39956.0,3.1593187092719495,3.131049431081951,3.0932569807122907,3.1239742101973116,3.128618920124945,,3.093919242401833,"rgba(239, 83, 80, 1.0)",0.09881787780038434,3.093919242401833,-1.7599977481114915,1,0.5299953334546252,0.5299953334546252,0.0,0.0,0.0,0.0,28.762657091596818,-16.761735048432463,False,True,False,True,False,0.0
2025-08-19 15:00:00+00:00,2.915,2.92,2.9,2.905,7232.0,3.1592353027663087,3.1309178158640956,3.0932064635116707,3.1238505202555458,3.128406262938405,,3.093717600047925,"rgba(239, 83, 80, 1.0)",0.09889251604509032,3.093717600047925,-1.908310230087369,2,0.3285313779082639,0.6570627558165278,0.0,0.0,0.0,0.0,25.452814590677228,-19.6228463772852,False,True,False,True,False,0.0
2025-08-19 16:00:00+00:00,2.905,2.91,2.87,2.87,50921.0,3.158591237595256,3.129891896810335,3.0928035539054224,3.122883050350286,3.1267516903891712,,3.0920721282063988,"rgba(239, 83, 80, 1.0)",0.09910873089965007,3.0920721282063988,-2.2406918763923223,1,0.5759796831160057,0.5759796831160057,0.0,0.0,0.0,0.0,21.868992246737122,-22.758072097990016,False,True,False,True,False,0.0
2025-08-19 17:00:00+00:00,2.875,2.895,2.86,2.895,26768.0,3.15825387168264,3.129355996769927,3.092592373309791,3.1223775881786686,3.125890846889962,,3.0912265572940703,"rgba(239, 83, 80, 1.0)",0.09918028901817358,3.0912265572940703,-1.978483418798206,1,0.5995269306338229,0.5995269306338229,0.0,0.0,0.0,0.0,23.741097356755255,-22.758072097990016,False,True,False,True,False,0.0
2025-08-19 18:00:00+00:00,2.895,2.895,2.875,2.88,16041.0,3.158052097665693,3.129035967996228,3.0924660250796068,3.1220757056237414,3.125377889003807,,3.0907259496111594,"rgba(239, 83, 80, 1.0)",0.0991394504252941,3.0907259496111594,-2.125550915474872,1,0.6126149876966525,0.6126149876966525,0.0,0.0,0.0,0.0,24.1474733838952,-22.758072097990016,False,True,False,True,True,0.0
2025-08-19 19:00:00+00:00,2.875,2.875,2.865,2.865,44418.0,3.157464499375982,3.1281002922277423,3.09209192120357,3.1211914777238796,3.1238814218917192,,3.089236245539036,"rgba(239, 83, 80, 1.0)",0.09903370979456637,3.089236245539036,-2.2642416002004473,1,0.6241922035154559,0.6241922035154559,0.0,0.0,0.0,0.0,23.639027719574763,-22.758072097990016,False,True,False,True,True,0.0
2025-08-20 14:00:00+00:00,2.825,2.835,2.81,2.815,12728.0,3.157268488201204,3.1277837535229724,3.0919618455108275,3.1208910212173477,3.1233753174164,,3.0738089278661507,"rgba(239, 83, 80, 1.0)",0.09964463886257385,3.0738089278661507,-2.5973191415053476,1,0.6332803261322207,0.6332803261322207,-1.0,0.0,2.81,882.0,21.33980554441474,-23.338147042108865,False,True,False,True,True,0.0
2025-08-20 15:00:00+00:00,2.815,2.84,2.815,2.815,18090.0,3.156993043192494,3.127339842434567,3.0917794492104345,3.120469738930011,3.1226667687937435,,3.0731826133623428,"rgba(239, 83, 80, 1.0)",0.1001949900745279,3.0731826133623428,-2.5768016262120415,1,0.6392368794312365,0.6392368794312365,0.0,0.0,0.0,0.0,19.806990760974728,-24.99840603116958,False,True,False,True,False,0.0
