date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_33,aVWAP_BoS_CHoCH_bull_111,aVWAP_BoS_CHoCH_bear_43,aVWAP_BoS_CHoCH_bear_74,aVWAP_BoS_CHoCH_bear_115,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-11-22 00:00:00+00:00,1.96,2.135,1.81,1.9,1252893,3.092791505232242,2.425884172637742,2.7713031283539147,2.414338994508729,2.363980394601851,2.6062834073174415,"rgba(239, 83, 80, 1.0)",0.31283516080812307,1.9790653932849396,-0.06094389529517541,4,0.37802646135790274,1.512105845431611,0.0,0.0,0.0,0.0,40.822750702208815,-5.518157128297943,False,True,False,True,False,0.0
2024-11-29 00:00:00+00:00,1.97,1.97,1.75,1.92,2858252,3.0736980952933797,2.3955094033194597,2.754991485636123,2.3990774924895377,2.3144844347635583,2.5850271533903273,"rgba(239, 83, 80, 1.0)",0.3162729463241884,1.9639757657886279,0.01904757988752253,4,0.3954072053993508,1.5816288215974033,0.0,0.0,0.0,0.0,41.4341687121145,-5.518157128297943,False,True,False,True,False,0.0
2024-12-06 00:00:00+00:00,2.1,2.41,1.93,1.98,4971771,3.048653288539511,2.3729209640784052,2.735877491865137,2.3867651052918757,2.2883765365180317,2.576395652666552,"rgba(239, 83, 80, 0.75)",0.3172097950159491,2.022183495718982,0.24531557821884284,4,0.410688088443209,1.642752353772836,0.0,0.0,0.0,0.0,43.09567146527532,-5.518157128297943,False,True,False,True,True,0.0
2024-12-13 00:00:00+00:00,2.13,2.29,1.985,2.12,4247855,3.0280397484000527,2.355796682295202,2.7201682500210085,2.376692183565158,2.270381531935717,2.5650427032197842,"rgba(239, 83, 80, 0.5)",0.31792984664449764,2.045796455594254,0.26484944806047245,4,0.4312253239292452,1.7249012957169807,0.0,0.0,0.0,0.0,44.557419266350465,-9.617589926890417,False,False,False,True,True,0.0
2024-12-20 00:00:00+00:00,1.84,2.185,1.77,2.1,3513276,3.0079560903022164,2.331967521005915,2.70347949771217,2.3624377790390434,2.2404210526926223,2.545013503946046,"rgba(239, 83, 80, 0.75)",0.3232645975049021,2.0300480559473,-0.5879024718888927,4,0.46892004449733266,1.8756801779893306,0.0,0.0,0.0,0.0,43.412394707989826,-9.617589926890417,False,True,False,True,True,0.0
2024-12-27 00:00:00+00:00,2.49,2.5175,1.83,1.84,3882108,2.9934970678140878,2.328881150719462,2.69378282217261,2.3595912961385856,2.2438708463770727,2.5432170219079064,#000000,0.3222557319222781,2.063971588331614,1.3220196554056516,4,0.5313341466091481,2.1253365864365925,0.0,0.0,0.0,0.0,47.286455548566124,-6.942875608265666,False,False,False,False,True,0.0
2025-01-03 00:00:00+00:00,2.84,2.98,2.32,2.39,6352888,2.9846870609007734,2.3624455524179164,2.6944876017109447,2.3783311187942564,2.3035746891952305,2.570926372360394,#000000,0.32694049931156655,2.1811924572862056,2.0150686259458066,4,0.5951359366462662,2.3805437465850647,0.0,0.0,0.0,0.0,51.7435103566634,-2.7454569102778805,True,False,False,False,True,0.45059509641989237
2025-01-10 00:00:00+00:00,3.08,3.205,2.81,2.85,3681328,2.9855278063197837,2.394671523670366,2.7013869860909154,2.3977899573075985,2.353548244532478,2.5963101828517012,"rgba(38, 166, 154, 1.0)",0.3370370097570181,2.2614437977079853,2.428683434149089,4,0.7145862151733955,2.858344860693582,0.0,0.0,0.0,0.0,55.89977282431194,1.0548661704145061,True,False,True,False,True,2.6835953224064184
2025-01-17 00:00:00+00:00,3.35,3.5,2.82,3.05,4844299,2.9909991584309994,2.4440521931051444,2.7150725521579817,2.428925095041938,2.425599026501117,2.687907659229125,"rgba(38, 166, 154, 1.0)",0.35520201078889574,2.586947345681134,2.1482216630028175,4,0.7791313590556708,3.116525436222683,0.0,0.0,0.0,0.0,59.82737500857419,4.5708631835537545,True,False,True,False,True,5.087546141528879
2025-01-24 00:00:00+00:00,2.81,3.405,2.78,3.33,2384112,2.991081274799386,2.4598447292241525,2.718681251271253,2.439301411647428,2.4480337954654936,2.691446861272508,"rgba(38, 166, 154, 1.0)",0.358694680576504,2.593452794606087,0.6037089957561472,4,0.8459563161034284,3.3838252644137135,0.0,0.0,0.0,0.0,59.13410614228573,4.5708631835537545,True,False,True,False,True,0.0
